#1:t_esc(gyr)	#2:m1	#3:m2	#4:id1	#5:id2	#6:a	#7:e	#8:t_mgr(gyr)	#9:dyn	#10:BS	#11:BB	#12:prev_partners_1	#13:prev_partners_2	#14:last_binint_type	#15:last_bininit_time	#16:model
0.011496  8.271276  9.873503  75861.0  201049.0  0.017905  0.222681  0.029995  0.0  1.0  1.0  0.0  0.0  2.0  0.00863  2e5-z0.001
0.014506  8.132245  6.301819  199583.0  207907.0  0.062209  0.711058  0.566751  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2e5-z0.001
0.04866  39.901337  50.67783  55020.0  70879.0  1.523568  0.620611  1692.944301  1.0  1.0  0.0  1.0  0.0  1.0  0.04866  2e5-z0.001
0.056499  54.213152  54.251046  152436.0  224642.0  1.55578  0.959353  1.142132  1.0  11.0  1.0  3.0  1.0  1.0  0.056499  2e5-z0.001
0.061758  15.896539  19.929104  23990.0  216832.0  0.168855  0.095837  22.28459  0.0  2.0  2.0  0.0  0.0  2.0  0.061758  2e5-z0.001
0.069882  25.305937  30.062864  35293.0  110182.0  1.266695  0.932162  19.335484  1.0  1.0  0.0  0.0  1.0  1.0  0.069882  2e5-z0.001
0.103046  54.097651  59.751263  197236.0  249947.0  1.209205  0.621496  332.365092  1.0  20.0  0.0  0.0  0.0  1.0  0.103046  2e5-z0.001
0.156687  43.528629  53.738592  213977.0  222944.0  3.067867  0.453047  54811.389515  1.0  1.0  0.0  6.0  4.0  1.0  0.156687  2e5-z0.001
0.173148  40.939327  54.278752  9220.0  132921.0  1.694608  0.844004  171.146709  1.0  1.0  0.0  0.0  8.0  1.0  0.173148  2e5-z0.001
0.233235  51.878718  30.865172  28119.0  95026.0  1.909406  0.719115  2525.595989  1.0  1.0  0.0  5.0  0.0  1.0  0.233235  2e5-z0.001
0.337448  36.918613  37.271938  169376.0  201592.0  2.070295  0.655082  8023.300253  0.0  60.0  5.0  6.0  4.0  1.0  0.337448  2e5-z0.001
0.358618  42.478955  22.738027  124136.0  174634.0  0.719659  0.83349  23.166995  1.0  1.0  0.0  5.0  1.0  1.0  0.358618  2e5-z0.001
0.411826  30.487874  33.581551  91331.0  229881.0  1.30285  0.438405  6550.575119  1.0  5.0  1.0  0.0  2.0  1.0  0.411826  2e5-z0.001
0.500161  33.197975  23.119857  118856.0  147838.0  1.933799  0.762279  5031.402627  1.0  4.0  0.0  1.0  0.0  1.0  0.500161  2e5-z0.001
0.522727  24.213225  27.473946  126190.0  141089.0  1.926883  0.582403  29602.960986  1.0  1.0  0.0  0.0  4.0  1.0  0.522727  2e5-z0.001
0.543053  35.962146  31.93769  48547.0  225523.0  5.072017  0.932786  2596.685476  1.0  5.0  1.0  4.0  4.0  1.0  0.543053  2e5-z0.001
0.615252  15.319726  15.877718  153873.0  192188.0  2.768328  0.553716  675477.806763  1.0  1.0  0.0  0.0  2.0  1.0  0.615252  2e5-z0.001
0.716178  24.467049  25.623827  102802.0  158783.0  2.4692  0.267651  290047.612393  1.0  4.0  0.0  2.0  3.0  1.0  0.716178  2e5-z0.001
0.812237  27.218292  27.067394  67980.0  68338.0  979.09853  0.986397  34927651746.5  1.0  0.0  1.0  5.0  3.0  2.0  0.812237  2e5-z0.001
0.812237  26.421082  18.978766  116579.0  182916.0  1.694773  0.65334  16380.04214  1.0  0.0  1.0  7.0  1.0  2.0  0.812237  2e5-z0.001
0.903343  25.300855  23.847288  32472.0  124488.0  2.100335  0.78942  7136.855322  1.0  1.0  0.0  2.0  1.0  1.0  0.903343  2e5-z0.001
1.159201  13.206057  18.79406  23902.0  51308.0  5.384132  0.657922  4612518.945  1.0  6.0  2.0  1.0  1.0  2.0  1.159201  2e5-z0.001
1.159201  14.894362  16.406092  122620.0  143199.0  5.79587  0.781679  1785704.7088  1.0  3.0  1.0  0.0  2.0  2.0  1.159201  2e5-z0.001
1.403767  20.938027  25.246465  17285.0  188770.0  0.798234  0.74322  325.033061  1.0  13.0  1.0  2.0  3.0  1.0  1.403767  2e5-z0.001
1.536615  18.108188  18.494044  29393.0  170199.0  1.754565  0.439033  115020.026056  1.0  1.0  0.0  0.0  3.0  1.0  1.536615  2e5-z0.001
1.677889  23.786614  25.347218  120068.0  140482.0  0.904932  0.992912  1.681641  1.0  24.0  0.0  3.0  3.0  1.0  1.677889  2e5-z0.001
1.891491  18.503319  21.314039  5658.0  156248.0  3.05066  0.410433  911433.18703  1.0  4.0  1.0  3.0  5.0  1.0  1.891491  2e5-z0.001
2.023719  18.445578  25.264019  35848.0  183930.0  4.443929  0.54598  1743589.57218  1.0  4.0  0.0  2.0  7.0  1.0  2.023719  2e5-z0.001
2.291691  20.554856  25.34094  18867.0  39867.0  5.690463  0.481663  5473206.36631  1.0  3.0  0.0  7.0  13.0  1.0  2.291691  2e5-z0.001
2.546328  19.729848  19.419052  59797.0  151092.0  4.828276  0.932669  11149.434161  1.0  1.0  0.0  3.0  5.0  1.0  2.546328  2e5-z0.001
2.584385  19.330265  17.564439  89261.0  204423.0  8.130037  0.547671  31469391.982  1.0  8.0  1.0  5.0  2.0  1.0  2.584385  2e5-z0.001
3.081558  18.031192  18.456776  45268.0  146802.0  2.106975  0.615795  96554.960759  1.0  6.0  1.0  4.0  2.0  2.0  3.081558  2e5-z0.001
3.383494  18.859946  14.046182  43023.0  81169.0  2.876094  0.349328  1574109.4486  1.0  1.0  0.0  6.0  0.0  1.0  3.383494  2e5-z0.001
4.130973  13.477871  17.868456  152954.0  160382.0  3.56959  0.405052  3621040.05242  1.0  10.0  1.0  2.0  4.0  1.0  4.130973  2e5-z0.001
4.441047  17.790595  16.760404  32106.0  155078.0  9.034252  0.658315  28099244.0134  1.0  1.0  0.0  4.0  5.0  1.0  4.441047  2e5-z0.001
4.545246  19.400565  18.292797  47095.0  186875.0  4.250544  0.816515  175545.882172  1.0  3.0  0.0  8.0  5.0  1.0  4.545246  2e5-z0.001
5.396234  12.71348  17.578486  115712.0  165167.0  3.063673  0.447917  1870007.36821  1.0  1.0  0.0  0.0  6.0  1.0  5.396234  2e5-z0.001
6.380138  17.807482  17.809294  4090.0  13019.0  4.956909  0.808854  434997.8805  1.0  3.0  0.0  4.0  5.0  1.0  6.380138  2e5-z0.001
7.813063  13.270983  18.273726  11687.0  56591.0  2.409454  0.375346  817629.383963  1.0  9.0  4.0  0.0  5.0  2.0  7.813063  2e5-z0.001
9.734471  15.39087  15.26685  143441.0  175899.0  3.577392  0.582737  1675296.17309  1.0  6.0  0.0  2.0  7.0  1.0  9.734471  2e5-z0.001
0.011442  8.976254  8.947585  160722.0  528335.0  0.017109  0.178203  0.028422  0.0  0.0  0.0  0.0  0.0  0.0  0.0  5e5-z0.001-1
0.033734  53.887433  48.699276  353119.0  558660.0  1.884435  0.822574  304.418298  1.0  1.0  0.0  2.0  0.0  1.0  0.033734  5e5-z0.001-1
0.047345  45.712339  53.020782  429004.0  578778.0  0.327487  0.432612  7.374824  1.0  6.0  1.0  2.0  0.0  1.0  0.047345  5e5-z0.001-1
0.053816  51.455893  50.188953  343963.0  532529.0  0.642791  0.699167  19.927317  1.0  1.0  0.0  5.0  1.0  1.0  0.053816  5e5-z0.001-1
0.05915  51.256429  51.275394  576163.0  624845.0  0.954923  0.937423  0.807934  1.0  1.0  0.0  1.0  3.0  1.0  0.05915  5e5-z0.001-1
0.069806  53.248378  56.910952  559686.0  601257.0  0.99841  0.857974  9.846734  1.0  11.0  0.0  0.0  4.0  1.0  0.069806  5e5-z0.001-1
0.074177  17.023572  20.07051  458459.0  542447.0  0.043847  0.759787  0.078852  0.0  1.0  2.0  0.0  0.0  1.0  0.074177  5e5-z0.001-1
0.082674  53.971322  49.778666  373716.0  570424.0  0.814738  0.570513  125.420701  1.0  2.0  0.0  0.0  5.0  1.0  0.082674  5e5-z0.001-1
0.095181  53.751897  53.547618  112629.0  576289.0  3.082381  0.961784  14.19227  1.0  6.0  5.0  3.0  2.0  2.0  0.095181  5e5-z0.001-1
0.12397  14.711993  19.273872  51537.0  532438.0  0.376138  0.825763  12.89828  1.0  9.0  0.0  0.0  1.0  1.0  0.12397  5e5-z0.001-1
0.131564  48.600994  54.279809  390886.0  491972.0  0.488543  0.395949  36.577972  1.0  9.0  0.0  5.0  5.0  1.0  0.131564  5e5-z0.001-1
0.135149  17.675592  17.060367  242971.0  509418.0  0.246996  0.712316  9.707637  0.0  11.0  0.0  0.0  0.0  1.0  0.135149  5e5-z0.001-1
0.147761  53.812285  52.669413  14522.0  705115.0  0.267388  0.950039  0.149734  1.0  1.0  0.0  10.0  3.0  1.0  0.147761  5e5-z0.001-1
0.163462  54.202069  45.938931  462729.0  792159.0  0.773693  0.918767  0.972929  1.0  6.0  0.0  4.0  2.0  1.0  0.163462  5e5-z0.001-1
0.195616  27.19304  34.562237  240501.0  625383.0  1.310057  0.659799  2179.606435  1.0  5.0  0.0  1.0  0.0  1.0  0.195616  5e5-z0.001-1
0.199599  53.681164  22.070042  52319.0  203205.0  0.286004  0.790286  1.000408  1.0  1.0  0.0  11.0  0.0  1.0  0.199599  5e5-z0.001-1
0.202615  47.039743  45.563106  260119.0  597460.0  0.805744  0.566807  172.265669  1.0  7.0  2.0  4.0  0.0  1.0  0.202615  5e5-z0.001-1
0.20577  25.249125  25.666706  275770.0  375980.0  1.110756  0.683315  1627.086121  1.0  1.0  0.0  0.0  2.0  1.0  0.20577  5e5-z0.001-1
0.214013  37.952449  34.95066  633153.0  648833.0  0.968344  0.789147  99.464079  1.0  6.0  0.0  1.0  2.0  1.0  0.214013  5e5-z0.001-1
0.258284  25.367517  44.838536  272048.0  577430.0  0.300306  0.504002  11.733307  1.0  1.0  1.0  0.0  6.0  2.0  0.258284  5e5-z0.001-1
