#1:t(gyr)	#2:m1	#3:m2	#4:id1	#5:id2	#6:dyn	#7:BS	#8:BB	#9:prev_partners_1	#10:prev_partners_2	#11:a	#12:e	#13:model
0.070902  14.7588  20.4758  3320.0  211777.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2e5-z0.001
0.009747  17.9383  29.1014  260119.0  537812.0  0.0  0.0  0.0  5.0  0.0  0.0  0.0  5e5-z0.001-1
0.012496  38.8487  11.3403  451370.0  532529.0  1.0  0.0  0.0  1.0  2.0  0.0  0.0  5e5-z0.001-1
0.016549  10.1397  16.2933  220761.0  512013.0  1.0  1.0  1.0  0.0  0.0  8.2381  0.826864  5e5-z0.001-1
0.033091  13.83  15.9956  8774.0  504339.0  1.0  1.0  0.0  5.0  0.0  0.594492  0.516698  5e5-z0.001-1
0.055025  16.1585  16.5573  411716.0  548654.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  5e5-z0.001-1
0.075402  20.8588  17.3394  166321.0  511696.0  1.0  1.0  0.0  0.0  1.0  0.0  0.0  5e5-z0.001-1
0.012132  13.5311  20.6575  271658.0  540640.0  1.0  1.0  0.0  0.0  0.0  2.2588  0.028443  5e5-z0.001-2
0.014918  8.40661  17.524  350977.0  502767.0  1.0  5.0  0.0  13.0  0.0  30.6826  0.95016  5e5-z0.001-2
0.017985  17.9389  27.9845  537812.0  646296.0  1.0  1.0  0.0  1.0  0.0  3.14422  0.003088  5e5-z0.001-2
0.021214  23.9708  23.7496  574090.0  575871.0  1.0  22.0  2.0  1.0  4.0  0.0  0.0  5e5-z0.001-2
0.025205  10.2184  11.6544  151869.0  532529.0  1.0  1.0  0.0  6.0  0.0  0.270765  0.060478  5e5-z0.001-2
0.03239  14.0302  15.6619  8774.0  504339.0  1.0  2.0  2.0  5.0  0.0  2.32198  0.024524  5e5-z0.001-2
0.092116  8.78238  11.5308  44919.0  546892.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  5e5-z0.001-2
0.105606  17.0752  18.3561  458459.0  542447.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  5e5-z0.001-2
0.00977  18.9331  28.1807  61426.0  1022624.0  1.0  2.0  1.0  2.0  0.0  2.23586  0.020507  1e6-z0.001
0.010185  16.7404  27.2223  436278.0  1039314.0  0.0  0.0  0.0  4.0  0.0  0.0  0.0  1e6-z0.001
0.011039  14.8717  24.388  650503.0  1054230.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  1e6-z0.001
0.011647  19.8219  30.6076  151402.0  1027271.0  1.0  5.0  1.0  3.0  0.0  2.87881  0.021294  1e6-z0.001
0.011688  15.3814  20.8556  958917.0  1042845.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  1e6-z0.001
0.012427  20.9636  32.2707  914182.0  1012636.0  0.0  0.0  0.0  4.0  0.0  0.0  0.0  1e6-z0.001
0.018257  12.2983  16.0219  31620.0  1036781.0  1.0  2.0  0.0  0.0  0.0  2.60471  0.156101  1e6-z0.001
0.023189  13.4593  14.6979  198666.0  1032913.0  1.0  1.0  1.0  4.0  0.0  0.946378  0.034064  1e6-z0.001
0.0244  13.7669  14.5153  1456.0  1063684.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  1e6-z0.001
0.032679  12.3741  22.3079  1063459.0  1175483.0  1.0  4.0  1.0  7.0  0.0  4.76039  0.203662  1e6-z0.001
